Model Name,Value Unfairness of sensitive attribute,Absolute Unfairness of sensitive attribute,Underestimation Unfairness of sensitive attribute,Overestimation Unfairness of sensitive attribute,NonParity Unfairness of sensitive attribute,Absolute Difference,KS Statistic of sensitive attribute,Generalized Cross Entropy,Differential Fairness of sensitive attribute,ndcg@5,recall@5,mrr@5,hit@5,Fairness Score,Accuracy Score,Combined Score
FOCF,0.3284508379347089,0.2788649617359295,0.2665792889663858,0.05533333333333334,0.012756666666666666,0.012756666666666666,0.07159333333333334,-0.12228333333333334,2.688696666666667,0.23818333333333333,0.2897766666666667,0.2729533333333333,0.43967000000000006,0.4942050840945531,1.0,0.7471025420472766
PFCN_MLP,0.3462235784171268,0.2561886079628015,0.1135313377894023,0.18638333333333332,0.004656666666666667,0.004656666666666667,0.02971666666666667,-0.11550333333333335,3.539546666666667,0.15989333333333333,0.1976,0.18366,0.30490666666666666,0.6692666419255537,0.4331674329111019,0.5512170374183278
NFCF,0.377977719655139,0.29725748328974133,0.10334379540831153,0.2442433333333333,0.009463333333333334,0.009463333333333334,0.05239,-0.11594333333333334,3.676193333333333,0.09895999999999999,0.13194666666666668,0.11142333333333333,0.20248333333333332,0.25962603251373795,0.0,0.12981301625686897
